iter	Passed	Remaining
0	0	753
1	1	704
2	2	674
3	2	660
4	3	645
5	3	657
6	4	677
7	5	671
8	6	665
9	6	658
10	7	653
11	7	651
12	8	646
13	9	641
14	9	650
15	11	686
16	11	680
17	12	676
18	13	672
19	13	669
20	14	666
21	14	663
22	15	661
23	16	660
24	17	674
25	17	671
26	18	668
27	19	664
28	19	660
29	20	657
30	20	654
31	21	652
32	22	652
33	23	654
34	23	654
35	24	652
36	25	655
37	25	654
38	26	651
39	27	650
40	27	647
41	28	646
42	29	650
43	29	649
44	30	648
45	31	646
46	31	644
47	32	642
48	32	640
49	33	638
50	34	637
51	35	638
52	35	641
53	36	640
54	37	638
55	37	636
56	38	634
57	38	632
58	39	631
59	40	629
60	40	628
61	41	630
62	42	629
63	42	628
64	43	626
65	44	625
66	44	623
67	45	621
68	45	620
69	46	618
70	47	618
71	47	618
72	48	618
73	49	616
74	49	615
75	50	614
76	51	612
77	51	611
78	52	610
79	52	609
80	53	608
81	54	609
82	54	605
83	55	604
84	56	603
85	56	601
86	57	600
87	57	600
88	58	598
89	59	597
90	59	597
91	60	599
92	61	598
93	61	596
94	62	595
95	63	594
96	63	593
97	64	592
98	64	590
99	65	589
100	66	588
101	66	589
102	67	587
103	68	587
104	68	585
105	69	584
106	69	582
107	70	581
108	70	579
109	71	578
110	72	577
111	72	577
112	73	576
113	73	574
114	74	573
115	75	571
116	75	569
117	76	568
118	76	567
119	77	565
120	77	564
121	78	562
122	78	562
123	79	561
124	80	560
125	80	559
126	81	557
127	81	556
128	82	554
129	82	553
130	83	552
131	83	551
132	84	550
133	85	550
134	85	549
135	86	548
136	86	547
137	87	545
138	87	544
139	88	543
140	89	542
141	89	540
142	90	539
143	90	538
144	91	538
145	91	537
146	92	536
147	92	535
148	93	534
149	94	533
150	94	532
151	95	531
152	95	530
153	96	529
154	96	528
155	97	528
156	98	527
157	98	526
158	99	525
159	99	524
160	100	522
161	100	521
162	101	520
163	101	519
164	102	518
165	103	518
166	103	517
167	104	517
168	105	516
169	105	515
170	106	514
171	106	513
172	107	512
173	107	511
174	108	510
175	108	510
176	109	509
177	110	508
178	110	508
179	111	507
180	112	506
181	112	506
182	113	505
183	113	504
184	114	503
185	114	503
186	115	503
187	116	502
188	116	502
189	117	501
190	118	500
191	118	499
192	119	499
193	119	498
194	120	497
195	121	496
196	121	496
197	122	495
198	122	494
199	123	493
200	124	495
201	125	494
202	125	493
203	126	492
204	126	492
205	127	491
206	128	490
207	128	490
208	129	489
209	129	489
210	130	488
211	131	487
212	131	486
213	132	485
214	132	484
215	133	483
216	133	483
217	134	483
218	135	482
219	135	481
220	136	480
221	136	479
222	137	479
223	138	478
224	138	477
225	139	476
226	140	478
227	141	478
228	141	477
229	142	477
230	143	476
231	143	475
232	144	475
233	145	474
234	145	473
235	146	473
236	146	472
237	147	472
238	148	471
239	148	471
240	149	470
241	150	469
242	150	469
243	151	468
244	151	467
245	152	467
246	153	468
247	154	467
248	154	467
249	155	466
250	156	465
251	156	464
252	157	463
